TKR,NAME,CAP,PRC,TGT,UP%,#T,%B,#A,AM,A,EXR,B,52W,2H,PET,PEF,P/S,PEG,DV,SI,EG,PP,ROE,DE,FCF,ERN,SZ,BS,SIGNAL_TRACK,SIGNAL_HORIZON
CNR,CORE NATURAL R,4.97B,100.17,109.50,9.3%,4.0,50%,2.0,-1,E,4.7%,0.2,87,Y,50.3,15.1,0.8,--,0.40%,5.5%,300.2,38.83,2.7,12.0,5.5%,06/30,2.5k,I,--,30
ZAP.OL,ZAPTEC ASA,4.97B,56.90,62.33,9.5%,3.0,100%,3.0,0,A,9.5%,1.4,98,Y,45.2,21.7,0.8,--,7.38%,--,114.3,--,16.5,8.4,8.7%,06/30,3k,I,--,30
GBTG,GLOBAL BUSINES,4.95B,9.48,9.75,2.8%,4.0,50%,4.0,-1,A,1.4%,0.9,99,Y,59.2,20.0,0.8,--,--,3.2%,124.2,--,6.3,96.4,8.6%,06/30,2.5k,I,--,30
CSW,CSW INDUSTRIAL,4.94B,302.96,351.86,16.1%,7,20%,5,0,E,3.2%,0.8,85,Y,41.4,22.2,0.8,--,0.39%,7.4%,21.6,--,10.9,84.9,1.5%,06/30,2.5k,I,--,30
CRC,CALIFORNIA RES,4.94B,55.57,76.73,38.1%,12.0,86%,7.0,0,E,32.6%,0.9,77,N,--,13.0,0.7,0.7,2.99%,5.9%,703.1,--,-3.6,39.6,6.8%,06/30,4k,H,value,90
SLM,SLM CORPORATIO,4.94B,26.28,28.55,8.6%,11,25%,4,-1,E,2.2%,1.0,85,Y,7.3,7.8,0.5,--,1.92%,10.9%,-56.9,--,30.3,236.2,--,06/30,2.5k,I,--,30
KID.OL,KID ASA,4.94B,121.60,139.50,14.7%,4.0,50%,4.0,-1,A,7.4%,0.6,78,N,19.0,12.3,0.5,--,8.25%,--,1447.0,--,20.1,179.3,7.4%,06/30,3k,I,--,30
REET,ISHARES GLOBAL,4.94B,27.36,--,--,--,--,--,--,,--,--,94,Y,22.9,--,--,--,3.38%,--,--,--,--,--,--,--,2.5k,I,--,30
CENER.BR,CENERGY HOLDIN,4.93B,23.22,24.59,5.9%,4,75%,4,+1,A,4.4%,1.1,82,Y,20.9,17.3,0.6,--,1.10%,--,--,--,27.2,75.1,--,03/31,2.5k,I,--,30
SR,SPIRE INC.,4.93B,83.44,92.67,11.1%,10.0,100%,1.0,0,E,11.1%,0.6,88,N,18.4,15.2,0.8,--,3.99%,6.0%,-7.0,--,8.1,202.6,-6.5%,06/30,3k,I,--,30
SON,SONOCO PRODUCT,4.93B,49.87,62.89,26.1%,11.0,80%,5.0,-1,E,20.9%,0.3,82,N,7.7,7.9,0.3,--,4.16%,13.9%,-14.7,13.84,18.9,132.4,10.7%,06/30,3.5k,I,--,30
AMTM,AMENTUM HOLDIN,4.92B,20.14,29.58,46.9%,12,20%,5,0,E,9.4%,--,53,N,24.3,7.6,0.3,--,--,6.9%,65.0,--,4.3,79.9,9.8%,06/30,3k,I,--,30
EQPT,EQUIPMENTSHARE,4.92B,19.40,33.20,71.1%,11,38%,8,0,E,26.7%,--,55,N,194.0,21.3,0.8,1.3,--,11.6%,201.6,--,2.1,304.0,-20.7%,06/30,3.5k,S,value,90
IEP,ICAHN ENTERPRI,4.91B,6.91,--,--,8,37%,8,--,A,--,0.7,74,N,--,8.5,0.5,--,29.33%,11.1%,-223.7,7.59,-17.8,318.7,2.8%,06/30,2.5k,S,value,90
A2M.AX,THE A2 MILK CO,4.91B,6.75,7.53,11.6%,10,80%,10,+3,A,9.3%,0.3,68,N,29.3,21.8,0.9,--,1.99%,--,--,-21.67,16.6,2.3,6.9%,08/17,3k,H,value,90
PBLS,PARABILIS MEDI,4.91B,39.77,41.75,5.0%,5.0,100%,3.0,0,E,5.0%,--,96,Y,--,-18.2,--,--,--,4.3%,-36.9,--,--,4.5,--,06/30,2.5k,I,--,30
MIDD,THE MIDDLEBY C,4.91B,108.63,155.22,42.9%,11.0,75%,8.0,0,E,32.2%,1.3,73,N,16.5,14.0,0.5,--,--,4.6%,110.6,--,11.0,90.5,12.3%,06/30,4k,H,value,90
BEWI.OL,BEWI ASA,4.91B,20.75,24.26,16.9%,1,100%,1,-1,A,16.9%,1.0,87,Y,--,21.4,0.9,--,--,--,202.9,--,-4.6,108.6,3.3%,06/30,3k,I,--,30
WTM,WHITE MOUNTAIN,4.90B,2052.48,--,--,1.0,--,1.0,--,A,--,0.3,88,N,4.7,22.8,1.4,--,0.05%,5.9%,75.3,--,20.4,14.9,14.0%,06/30,2.5k,I,--,30
WOR.AX,WORLEY LIMITED,4.90B,10.04,11.67,16.2%,10.0,50%,10.0,0,A,8.1%,0.4,68,N,21.4,11.2,0.6,--,5.02%,--,--,-26.3,4.8,58.4,9.7%,08/26,3k,H,value,90
LAND.L,LAND SECURITIE,4.90B,658.00,718.56,9.2%,16.0,62%,16.0,0,A,5.7%,1.1,91,Y,14.3,11.8,0.4,--,13.40%,--,--,--,5.3,69.1,6.0%,--,2.5k,H,value,90
HRI,HERC HOLDINGS ,4.89B,146.27,186.58,27.6%,11.0,60%,5.0,0,E,16.5%,1.9,78,Y,85.5,14.4,0.5,0.0,1.99%,8.2%,-36.7,--,2.6,505.7,10.3%,06/30,3k,I,--,30
LFST,LIFESTANCE HEA,4.89B,12.80,13.80,7.8%,11,86%,7,0,E,6.7%,1.2,97,Y,98.5,24.1,0.8,--,--,6.2%,2092.4,--,3.4,32.1,3.5%,06/30,3k,H,value,90
NWL.AX,NETWEALTH GROU,4.89B,19.93,27.06,35.8%,16.0,62%,16.0,+2,A,22.2%,1.1,59,N,79.7,28.9,0.9,--,2.10%,--,--,-35.28,33.6,43.5,2.1%,08/26,3.5k,H,value,90
VEA.AX,VIVA ENERGY GR,4.89B,2.98,3.00,0.8%,8.0,62%,8.0,0,A,0.5%,-0.3,96,Y,22.9,12.1,0.7,--,5.19%,--,--,55.19,12.9,301.0,11.0%,08/25,2.5k,H,value,90
CE,CELANESE CORPO,4.89B,44.53,63.62,42.9%,16.0,33%,6.0,0,E,14.3%,0.8,63,N,--,7.2,0.3,--,0.27%,9.8%,109.4,-0.1,-22.2,270.2,19.4%,06/30,3k,S,value,90
NEXI.MI,NEXI S.P.A.,4.88B,4.16,4.04,-2.7%,15.0,13%,15.0,0,A,-0.3%,1.1,78,Y,--,6.3,0.2,--,7.12%,--,--,--,-38.6,86.7,16.1%,--,2.5k,S,value,90
TFSL,TFS FINANCIAL ,4.88B,17.39,19.00,9.3%,2,--,2,--,E,0.0,0.7,89,Y,48.3,44.6,2.7,--,7.23%,14.9%,17.5,--,5.3,--,--,06/30,2.5k,I,--,30
CIGI,COLLIERS INTER,4.87B,95.30,139.22,46.1%,13.0,100%,1.0,0,E,46.1%,1.2,56,N,45.2,11.2,0.4,--,0.30%,--,-32.5,--,7.8,116.0,7.1%,06/30,4k,I,--,30
GNTX,GENTEX CORPORA,4.86B,22.80,27.72,21.6%,9.0,--,2.0,0,E,0.0,0.8,78,N,12.1,10.3,0.4,0.7,2.07%,7.5%,13.6,--,16.4,0.4,7.3%,06/30,2.5k,I,--,30
WHD,"CACTUS, INC.",4.85B,69.52,67.56,-2.8%,9,75%,4,-1,E,-2.1%,1.4,94,Y,58.4,19.2,1.1,--,0.86%,5.6%,17.7,--,13.1,3.3,2.7%,06/30,2.5k,I,--,30
JMKE,JERSEY MIKE'S ,4.85B,20.82,27.82,33.6%,26.0,83%,23.0,+20,E,27.8%,--,83,N,--,28.8,1.2,1.0,--,--,--,--,--,36.0,--,03/31,3.5k,H,value,90
HELG.OL,SPAREBANK 1 HE,4.84B,179.50,178.00,-0.8%,2.0,50%,2.0,0,A,-0.4%,0.1,97,Y,13.3,12.3,0.8,--,4.33%,--,2.2,--,--,--,--,06/30,2.5k,I,--,30
UTDI.DE,UNITED INTERNE,4.83B,27.92,32.09,14.9%,11.0,72%,11.0,+1,A,10.8%,0.5,92,Y,15.9,13.2,0.9,--,1.79%,--,325.9,--,8.1,91.3,-2.9%,06/30,3k,H,value,90
CMBT.BR,CMB.TECH NV,4.83B,16.64,15.85,-4.8%,5.0,60%,5.0,-1,A,-2.9%,0.2,97,Y,6.5,9.3,0.5,--,4.63%,--,1733.6,--,29.6,174.7,-16.7%,06/30,2.5k,I,--,30
VSH,VISHAY INTERTE,4.83B,31.47,39.60,25.8%,6.0,100%,3.0,+3,E,25.8%,1.8,45,Y,157.3,18.1,0.5,--,1.26%,11.0%,457.1,--,1.1,37.7,-0.1%,06/30,3.5k,I,--,30
PTEN,PATTERSON-UTI ,4.83B,12.66,14.07,11.1%,15.0,67%,6.0,+1,E,7.4%,0.7,95,Y,--,38.1,2.1,--,3.22%,9.2%,46.2,--,-2.8,41.4,5.7%,06/30,3k,H,value,90
SJNK,STATE STREET S,4.82B,24.70,--,--,--,--,--,--,,--,--,96,N,0.9,--,--,--,6.99%,--,--,--,--,--,--,--,2.5k,I,--,30
KGF.L,KINGFISHER PLC,4.81B,297.10,312.78,5.3%,17,23%,17,0,A,1.2%,1.1,80,N,21.2,10.6,0.4,0.7,4.10%,--,--,--,3.9,38.0,20.2%,--,2.5k,S,value,90
GEF,"GREIF, INC.",4.81B,84.69,87.20,3.0%,6.0,--,3.0,0,E,0.0,0.8,94,Y,35.0,17.8,0.7,--,2.78%,--,100.5,45.53,--,39.4,--,06/30,2.5k,I,--,30
DAVE,DAVE INC.,4.80B,376.38,436.58,16.0%,13.0,90%,10.0,0,E,14.4%,3.8,82,Y,24.2,17.1,0.5,--,--,21.7%,-92.7,--,104.8,129.1,3.5%,06/30,3k,H,value,90
TEMN.SW,TEMENOS AG,4.80B,70.65,80.52,14.0%,16.0,50%,16.0,+1,A,7.0%,0.6,81,N,20.9,17.0,0.5,2.9,1.99%,--,36.9,17.27,42.8,226.4,4.6%,06/30,3k,H,value,90
OMFL,INVESCO RUSSEL,4.80B,69.88,--,--,--,--,--,--,,--,--,98,Y,25.6,--,--,--,0.79%,--,--,--,--,--,--,--,2.5k,I,--,30
RRTL.DE,RTL GROUP S.A.,4.79B,31.75,34.01,7.1%,7.0,--,7.0,0,A,0.0,0.7,81,N,53.8,11.0,0.7,--,2.37%,--,--,--,2.7,36.2,10.7%,03/12,2.5k,S,value,90
BAB.L,BABCOCK INTERN,4.79B,975.60,1408.50,44.4%,10.0,90%,10.0,+1,A,39.9%,0.9,64,N,23.8,13.5,0.5,--,0.77%,--,--,--,33.7,174.5,3.9%,--,4k,H,value,90
LASP.CO,LÅN & SPAR BAN,4.79B,1385.00,--,--,--,--,--,--,,--,0.2,79,Y,11.5,--,--,--,1.46%,--,9.5,--,--,--,--,06/30,2.5k,I,--,30
OMAB,GRUPO AEROPORT,4.79B,99.30,122.65,23.5%,8,--,1,-1,E,0.0,0.3,74,N,15.0,11.7,0.4,0.8,5.79%,0.6%,-2.5,--,60.5,153.6,46.1%,06/30,2.5k,I,--,30
GHC,GRAHAM HOLDING,4.78B,1127.68,990.00,-12.2%,1,--,1,--,A,--,0.7,89,Y,9.1,16.8,0.6,--,0.66%,9.1%,128.7,--,11.9,30.2,5.6%,06/30,2.5k,I,--,30
SEK.AX,SEEK LIMITED,4.78B,13.35,19.32,44.8%,14.0,78%,14.0,-1,A,34.9%,0.9,45,N,--,18.8,1.2,--,3.83%,--,--,-48.9,-12.7,60.5,4.2%,08/12,4k,H,value,90
BDC,BELDEN INC.,4.77B,122.05,156.50,28.2%,4.0,100%,3.0,-1,E,28.2%,1.1,76,Y,19.8,12.1,0.4,--,0.16%,13.5%,20.9,--,18.6,97.1,2.1%,06/30,3.5k,I,--,30
RDN,RADIAN GROUP I,4.77B,36.05,43.80,21.5%,5.0,50%,2.0,0,E,10.7%,0.7,88,Y,8.9,6.9,0.4,--,2.78%,5.0%,-22.6,--,12.0,28.0,6.5%,06/30,3k,I,--,30
MBRFY,MBRF GLOBAL FO,4.77B,3.42,--,--,--,--,--,--,,--,0.0,63,N,57.0,--,--,--,28.50%,--,-27.2,-22.1,0.9,539.1,20.5%,06/30,2.5k,I,--,30
FPE.DE,FUCHS SE,4.77B,36.45,40.00,9.7%,1.0,100%,1.0,-1,A,9.7%,0.8,100,Y,14.1,13.9,0.6,--,3.36%,--,6.0,--,17.6,8.6,4.6%,06/30,3k,I,--,30
VERE.DE,VANGUARD FTSE ,4.76B,61.13,--,--,--,--,--,--,,--,--,98,Y,18.7,--,--,--,--,--,--,--,--,--,--,--,2.5k,I,--,30
EWTX,EDGEWISE THERA,4.76B,43.82,51.69,18.0%,13.0,80%,5.0,+1,E,14.4%,0.3,91,Y,--,-24.1,--,--,--,12.6%,-41.0,--,-38.0,0.8,-1.9%,06/30,3k,I,--,30
VERX.DE,VANGUARD FTSE ,4.76B,50.42,--,--,--,--,--,--,,--,--,98,Y,18.7,--,--,--,--,--,--,--,--,--,--,--,2.5k,I,--,30
TREX,"TREX COMPANY, ",4.76B,45.78,54.67,19.4%,19,52%,19,0,A,10.1%,1.5,73,Y,26.9,22.7,0.8,--,--,10.0%,19.5,--,17.7,30.0,1.5%,06/30,3k,H,value,90
FFIN,FIRST FINANCIA,4.75B,33.11,36.67,10.7%,6.0,--,2.0,0,E,0.0,0.8,90,Y,17.7,15.4,0.9,--,2.63%,7.8%,37.6,--,14.4,--,--,06/30,2.5k,I,--,30
CENX,CENTURY ALUMIN,4.75B,47.95,70.00,46.0%,4.0,100%,2.0,+1,E,46.0%,2.0,68,N,8.3,4.0,0.2,--,--,13.4%,1573.2,--,51.7,31.3,-1.0%,06/30,4k,I,--,30
CLMT,"CALUMET, INC.",4.74B,53.91,53.40,-0.9%,6,20%,5,0,E,-0.2%,0.7,99,Y,--,85.6,3.5,--,--,5.1%,-130.6,203.38,--,--,3.6%,06/30,2.5k,I,--,30
MTN,"VAIL RESORTS, ",4.74B,132.99,147.23,10.7%,13.0,50%,6.0,0,E,5.4%,0.7,81,N,28.7,21.0,0.8,--,6.58%,27.7%,269.5,--,16.9,355.6,2.8%,04/30,2.5k,H,value,90
CAR,AVIS BUDGET GR,4.73B,133.84,129.14,-3.5%,8.0,--,1.0,0,E,-0.0,1.9,16,N,--,22.1,0.8,--,--,56.1%,-90.3,-15.24,--,--,23.1%,06/30,2.5k,I,--,30
AG1.DE,AUTO1 GROUP SE,4.72B,21.34,31.71,48.6%,14.0,78%,14.0,0,A,37.9%,1.8,68,N,57.7,21.5,0.9,--,--,--,20.5,--,11.4,209.6,1.1%,06/30,4k,H,value,90
SGM.AX,SIMS LIMITED,4.72B,24.42,27.09,10.9%,13.0,46%,13.0,0,A,5.0%,1.2,77,Y,19.5,12.8,0.5,--,1.38%,--,--,80.33,9.4,31.1,3.9%,08/18,2.5k,S,--,30
ACAD,ACADIA PHARMAC,4.72B,27.58,34.00,23.3%,21,77%,13,0,E,17.9%,0.9,89,Y,12.4,31.0,1.0,--,--,8.7%,-56.1,--,35.7,5.7,1.5%,06/30,3k,H,value,90
BOX,"BOX, INC.",4.71B,34.30,38.71,12.9%,9.0,40%,5.0,0,E,5.1%,1.4,94,Y,50.4,19.7,0.6,0.7,--,14.3%,59.3,--,-575.8,2048.8,3.2%,07/31,2.5k,I,--,30
TPC,TUTOR PERINI C,4.71B,89.52,116.25,29.9%,4,100%,1,0,E,29.9%,2.1,88,Y,38.6,14.8,0.5,--,0.41%,4.8%,1710.6,48.55,13.7,34.8,12.2%,06/30,3.5k,I,--,30
VNT.AX,VENTIA SERVICE,4.71B,5.76,6.36,10.4%,12.0,58%,12.0,0,A,6.0%,0.4,85,N,18.0,15.6,0.6,--,4.07%,--,--,19.29,47.1,226.6,4.8%,08/24,3k,H,value,90
LPX,LOUISIANA-PACI,4.69B,67.08,92.23,37.5%,13.0,88%,8.0,0,E,32.8%,1.6,67,N,87.1,22.1,0.8,--,1.76%,10.0%,188.9,--,3.1,21.6,-2.0%,06/30,4k,H,value,90
LOG.MC,LOGISTA INTEGR,4.69B,35.46,32.54,-8.2%,11.0,18%,11.0,-1,A,-1.5%,0.4,94,Y,16.9,14.8,0.5,--,5.76%,--,17.4,--,42.5,10.2,--,06/30,2.5k,S,value,90
HAE,HAEMONETICS CO,4.68B,102.84,108.40,5.4%,11,75%,8,0,E,4.1%,0.5,94,Y,49.7,17.9,0.6,1.6,--,7.1%,-14.7,--,11.2,140.3,6.7%,06/30,2.5k,H,value,90
CUZ,COUSINS PROPER,4.68B,28.41,33.73,18.7%,11,100%,4,0,E,18.7%,1.2,86,Y,710.2,71.0,2.3,--,4.40%,8.8%,204.5,--,0.2,84.2,-0.5%,06/30,3.5k,I,--,30
MEOH,METHANEX CORPO,4.67B,60.39,70.00,15.9%,10.0,33%,3.0,+2,E,5.3%,0.9,90,Y,68.6,10.5,0.4,--,1.26%,--,2897.4,--,6.1,108.9,15.2%,06/30,2.5k,I,--,30
KBR,"KBR, INC.",4.67B,37.04,45.71,23.4%,8,33%,3,0,E,7.8%,0.4,71,N,11.2,9.1,0.3,0.5,1.79%,8.0%,-19.0,-23.65,27.5,170.4,6.0%,06/30,3k,I,--,30
BLLN,"BILLIONTOONE, ",4.67B,99.06,119.75,20.9%,9,100%,3,+1,E,20.9%,--,66,Y,137.6,66.7,2.2,--,--,7.5%,41.0,--,10.7,26.8,0.3%,06/30,3.5k,I,--,30
SFBS,SERVISFIRST BA,4.67B,42.70,49.00,14.8%,3.0,100%,1.0,0,E,14.8%,0.8,93,Y,14.5,11.8,0.7,--,1.76%,5.9%,30.8,--,17.3,--,--,06/30,3k,I,--,30
COLR.BR,COLRUYT GROUP ,4.66B,39.22,35.00,-10.8%,11,27%,11,0,A,-2.9%,0.3,98,Y,14.0,13.0,0.5,1.8,3.50%,--,--,--,10.5,26.1,6.9%,06/16,2.5k,S,value,90
BC,BRUNSWICK CORP,4.66B,71.95,90.71,26.1%,20,50%,2,0,E,13.0%,1.3,80,N,--,13.3,0.5,0.7,2.36%,0.0%,146.2,12.65,-4.8,136.5,7.9%,06/30,3k,I,--,30
WAY,WAYSTAR HOLDIN,4.65B,24.24,33.30,37.4%,24.0,100%,9.0,+1,E,37.4%,0.2,58,N,34.6,12.9,0.4,--,--,8.2%,33.3,--,3.8,37.2,6.8%,06/30,4k,H,value,90
ESAB,ESAB CORPORATI,4.65B,74.74,131.18,75.5%,11,75%,4,0,E,56.6%,1.1,54,N,23.4,11.4,0.4,0.7,0.56%,10.1%,-45.4,--,8.7,98.3,3.1%,06/30,4k,I,--,30
SPINNEYS.AE,SPINNEYS 1961 ,4.64B,1.29,1.84,42.8%,7.0,100%,7.0,0,A,42.8%,0.5,71,N,12.9,12.2,0.5,--,5.30%,--,109.5,--,82.1,237.7,10.1%,06/30,4k,H,value,90
CVI,"CVR ENERGY, IN",4.64B,46.12,31.40,-31.9%,6.0,--,2.0,0,E,-0.0,0.8,100,Y,66.8,21.1,1.2,--,0.90%,20.1%,-100.8,--,24.3,241.8,4.6%,06/30,2.5k,I,--,30
MAS.OL,MÅSØVAL AS,4.64B,37.90,39.25,3.6%,2,--,2,0,A,0.0,0.2,99,Y,--,24.1,1.0,--,--,--,21.4,--,-8.0,122.6,13.8%,06/30,2.5k,I,--,30
AALB.AS,AALBERTS N.V.,4.64B,43.58,46.90,7.6%,10.0,80%,10.0,0,A,6.1%,1.3,96,Y,31.4,13.3,0.5,--,2.67%,--,--,--,6.2,51.2,4.8%,--,3k,H,value,90
CECO,CECO ENVIRONME,4.63B,79.13,109.14,37.9%,7.0,100%,3.0,+2,E,37.9%,1.5,78,Y,--,25.3,0.9,--,--,3.1%,-2419.4,--,-2.4,37.1,-3.5%,06/30,4k,I,--,30
EMR.AX,EMERALD RESOUR,4.63B,6.98,7.43,6.5%,3.0,33%,3.0,-1,A,2.1%,0.9,86,Y,17.9,7.2,0.3,--,--,--,--,65.4,33.0,3.5,5.7%,--,2.5k,I,--,30
DK,DELEK US HOLDI,4.63B,75.67,66.33,-12.3%,12.0,86%,7.0,0,E,-10.6%,0.6,98,Y,20.6,16.3,0.9,--,1.42%,11.4%,-4.9,142.14,78.8,812.3,10.7%,06/30,2.5k,H,value,90
NSIT,INSIGHT ENTERP,4.62B,157.34,163.75,4.1%,4.0,--,1.0,0,E,0.0,1.1,97,Y,23.3,11.9,0.4,1.0,--,6.9%,52.3,--,13.1,108.5,9.5%,06/30,2.5k,I,--,30
PAM,PAMPA ENERGÍA ,4.62B,86.19,121.09,40.5%,11,--,1,0,E,0.0,-0.2,91,Y,7.8,7.3,0.3,--,--,0.7%,647.8,--,15.3,65.0,-11.0%,06/30,2.5k,I,--,30
BOOT,BOOT BARN HOLD,4.62B,152.60,221.50,45.2%,16,100%,4,0,E,45.2%,1.7,73,N,19.3,15.3,0.6,--,--,10.3%,66.1,--,19.2,59.3,0.3%,06/30,4k,I,--,30
BB,BLACKBERRY LIM,4.61B,7.87,9.71,23.4%,8,17%,6,0,E,3.9%,1.4,58,Y,78.7,34.4,1.0,1.7,--,6.3%,-36.1,--,8.1,29.5,2.3%,05/31,2.5k,S,value,90
BIPC,BROOKFIELD INF,4.61B,37.50,50.00,33.3%,1.0,--,1.0,0,A,0.0,1.3,73,N,--,18.4,0.9,--,4.87%,--,-201.2,--,17.2,719.5,-11.3%,06/30,2.5k,I,--,30
IOS.DE,IONOS GROUP SE,4.61B,34.14,36.86,8.0%,12.0,75%,12.0,+2,A,6.0%,0.5,80,Y,20.6,15.1,0.5,--,--,--,86.1,--,84.8,268.2,5.1%,06/30,2.5k,H,value,90
REYN,REYNOLDS CONSU,4.61B,21.87,27.14,24.1%,7.0,--,4.0,0,E,0.0,0.5,80,N,13.4,12.8,0.5,--,4.21%,14.8%,12.7,--,15.4,71.3,5.3%,06/30,2.5k,I,--,30
DEME.BR,DEME GROUP NV,4.60B,182.60,221.75,21.4%,7.0,71%,7.0,0,A,15.2%,0.8,89,Y,13.5,13.1,0.5,--,2.48%,--,--,--,16.3,45.0,4.9%,09/30,3k,H,value,90
ATAT,ATOUR LIFESTYL,4.60B,33.28,50.17,50.8%,19.0,100%,19.0,+1,A,50.8%,0.6,77,N,15.8,11.9,0.5,--,1.57%,2.2%,15.6,--,59.1,38.5,44.2%,06/30,4k,H,value,90
UFPI,UFP INDUSTRIES,4.59B,83.22,102.60,23.3%,5.0,--,1.0,0,E,0.0,1.2,71,N,19.0,15.0,0.6,--,1.71%,5.0%,10.0,--,8.0,13.3,2.6%,06/30,2.5k,I,--,30
HGTY,"HAGERTY, INC.",4.59B,13.37,14.50,8.5%,9.0,40%,5.0,+1,E,3.4%,0.8,96,Y,102.8,22.8,1.4,0.3,--,2.0%,-98.7,--,8.9,35.2,11.3%,06/30,2.5k,I,--,30
EPR,EPR PROPERTIES,4.59B,59.90,64.41,7.5%,12,60%,5,+1,E,4.5%,1.0,92,Y,19.2,18.8,0.6,--,6.20%,12.9%,0.9,--,11.3,152.2,7.4%,06/30,2.5k,I,--,30
SKY,CHAMPION HOMES,4.59B,84.58,103.50,22.4%,6,100%,4,0,E,22.4%,1.0,85,Y,24.7,19.8,0.8,--,--,6.6%,-15.5,--,12.6,7.8,4.0%,06/30,3.5k,I,--,30
SMR,NUSCALE POWER ,4.59B,11.18,12.63,13.0%,18,33%,6,0,E,4.3%,2.3,19,N,--,-17.2,--,--,--,18.4%,82.6,--,-55.2,0.3,-4.5%,06/30,2.5k,S,--,30
FHI,FEDERATED HERM,4.59B,61.45,61.14,-0.5%,8.0,67%,3.0,0,E,-0.3%,0.6,91,Y,11.4,10.5,0.6,1.5,2.31%,6.2%,5.9,--,31.1,32.4,8.1%,06/30,2.5k,I,--,30
TDW,TIDEWATER INC.,4.58B,92.00,94.88,3.1%,8.0,50%,2.0,+1,E,1.6%,0.6,91,Y,18.7,15.3,0.8,--,--,16.3%,2787.6,--,19.4,45.5,8.0%,06/30,2.5k,I,--,30
BRG.AX,BREVILLE GROUP,4.58B,31.65,35.87,13.3%,14.0,85%,14.0,0,A,11.3%,1.3,89,Y,33.7,26.6,1.1,--,1.20%,--,--,3.77,13.6,14.5,2.7%,08/19,3k,H,value,90
OLLI,OLLIE'S BARGAI,4.57B,76.88,99.93,30.0%,15,77%,13,-1,E,23.1%,0.5,55,N,17.2,15.6,0.6,--,--,13.6%,85.1,--,14.9,38.3,2.6%,07/31,3.5k,H,value,90
BSCR,INVESCO BULLET,4.57B,19.62,--,--,--,--,--,--,,--,--,99,N,--,--,--,--,4.24%,--,--,--,--,--,--,--,2.5k,I,--,30
USRT,ISHARES CORE U,4.57B,65.33,--,--,--,--,--,--,,--,--,93,Y,29.6,--,--,--,2.60%,--,--,--,--,--,--,--,2.5k,I,--,30
JSW.WA,JASTRZEBSKA SP,4.57B,38.90,23.00,-40.9%,5.0,20%,5.0,+1,A,-8.2%,0.3,99,Y,--,-12.9,--,--,--,--,15.8,--,-97.8,91.2,-76.4%,03/31,2.5k,I,--,30
TKC,TURKCELL ILETI,4.57B,5.25,7.33,39.7%,2,100%,2,0,A,39.7%,0.7,73,N,12.5,9.9,0.6,--,4.32%,0.4%,-9.7,--,6.8,68.5,84.3%,06/30,4k,I,--,30
MARA,"MARA HOLDINGS,",4.57B,11.83,17.99,52.1%,13.0,60%,5.0,0,E,31.3%,5.3,50,Y,--,-10.3,--,--,--,32.7%,-595.1,--,-105.6,140.2,-25.6%,06/30,4k,I,--,30
NAPA.OL,NAPATECH A/S,4.56B,41.10,74.73,81.8%,2.0,100%,2.0,0,A,81.8%,0.7,68,Y,--,29.0,0.9,--,--,--,64.0,--,-23.8,6.0,-0.4%,06/30,4k,I,--,30
UBLS.L,UNITED BANK LI,4.56B,6.40,--,--,--,--,--,--,,--,--,96,N,7.4,--,--,--,--,--,31.0,12.58,--,--,--,06/30,2.5k,I,--,30
ABDN.L,ABERDEEN GROUP,4.56B,247.60,242.07,-2.2%,15,26%,15,+1,A,-0.6%,1.4,93,Y,11.8,15.8,1.0,--,5.87%,--,--,--,7.6,10.8,21.2%,--,2.5k,S,value,90
WDEF.L,WISDOMTREE EUR,4.56B,31.18,--,--,--,--,--,--,,--,--,70,N,33.0,--,--,--,--,--,--,--,--,--,--,--,2.5k,I,--,30
ALK,ALASKA AIR GRO,4.55B,40.74,59.59,46.3%,16,90%,10,0,E,41.7%,1.3,62,N,--,7.7,0.3,--,--,10.9%,-204.1,-34.6,-4.6,207.5,-0.5%,06/30,4k,H,value,90
CELC,CELCUITY INC.,4.55B,93.02,161.09,73.2%,12.0,100%,7.0,0,E,73.2%,0.2,62,N,--,-1162.8,--,--,--,32.3%,-80.0,--,-1433.7,--,-1.6%,06/30,4k,H,value,90
ALI1.DE,ALMONTY INDUST,4.54B,16.00,25.87,61.6%,1.0,100%,1.0,--,A,61.6%,1.4,78,Y,84.2,--,--,--,--,--,447.7,--,38.2,147.4,-1.1%,06/30,4k,I,--,30
MEDI.OL,MEDISTIM ASA,4.53B,248.00,332.50,34.1%,2.0,100%,2.0,--,A,34.1%,1.0,85,Y,27.4,23.7,0.8,--,3.21%,--,21.4,--,41.6,8.5,2.5%,06/30,4k,I,--,30
FCT.MI,FINCANTIERI S.,4.52B,12.59,17.78,41.2%,9.0,88%,9.0,+2,A,36.3%,0.8,46,N,23.8,15.6,0.6,0.3,--,--,--,--,14.9,157.3,14.5%,03/31,4k,H,value,90
FULT,FULTON FINANCI,4.51B,23.62,26.50,12.2%,7.0,33%,3.0,0,E,4.1%,0.8,94,Y,11.4,10.0,0.6,--,3.15%,5.1%,2.0,--,11.1,--,--,06/30,2.5k,I,--,30
OVZON.ST,OVZON AB (PUBL,4.51B,40.40,66.50,64.6%,2,100%,2,-1,A,64.6%,1.6,58,N,19.7,808.0,52.5,--,--,--,86.4,--,13.0,14.4,8.6%,06/30,4k,I,--,30
